	mass A					
t	x	y	θ	ω	α	
2.432	-218.0	-212.5	-135.7	
2.466	-219.6	-210.7	-136.2	-37.45	
2.499	-226.9	-202.7	-138.2	-85.59	-1.606E3
2.532	-238.9	-187.4	-141.9	-143.3	-1.508E3
2.566	-257.0	-162.0	-147.8	-190.2	-1.293E3
2.599	-273.8	-130.2	-154.6	-225.5	-1.072E3
2.632	-289.6	-89.63	-162.8	-263.5	-1.133E3
2.666	-300.6	-41.57	-172.1	-299.7	-1.079E3
2.699	-302.7	14.68	-182.8	-336.4	-827.3
2.732	-293.3	76.10	-194.5	-356.4	-681.1
2.765	-271.2	135.4	-206.5	-377.7	-758.2
2.799	-233.7	194.1	-219.7	-409.6	-591.0
2.832	-179.5	245.4	-233.8	-419.1	-346.0
2.865	-115.9	281.8	-247.6	-427.7	-499.2
2.899	-40.94	303.6	-262.3	-454.6	-317.6
2.932	42.68	306.1	-277.9	-453.2	338.5
2.965	119.7	288.8	-292.5	-427.2	661.3
2.999	187.3	254.0	-306.4	-409.4	481.9
3.032	243.6	205.9	-319.8	-395.4	606.3
3.065	264.9	136.4	-332.8	-370.7	758.2
3.099	311.7	86.43	-344.5	-342.2	876.0
3.132	327.1	25.42	-355.6	-314.4	956.1
3.165	329.5	-31.46	-365.5	-277.7	1.143E3
3.199	315.5	-79.06	-374.1	-238.1	1.226E3
3.232	303.3	-118.4	-381.3	-196.1	1.061E3
3.265	288.4	-147.8	-387.1	-165.4	2.270E3
3.299	266.7	-168.9	-392.3	-59.23	1.765E3
3.332	228.2	-137.5	-391.1	-13.92	1.028E3
3.365	260.8	-171.1	-393.3	-25.24	568.2
3.399	262.3	-168.8	-392.8	39.52	1.962E3
3.432	268.4	-159.0	-390.6	101.3	1.528E3
3.465	279.4	-136.4	-386.0	147.4	1.259E3
3.499	291.3	-110.7	-380.8	178.9	1.084E3
3.532	302.9	-76.02	-374.1	222.1	854.8
3.565	311.2	-32.78	-366.0	238.9	1.000E3
3.598	310.8	9.940	-358.2	278.7	1.308E3
3.632	302.7	67.42	-347.4	336.8	1.273E3
3.665	281.5	127.0	-335.7	360.4	314.9
3.698	246.8	183.1	-323.4	359.5	319.8
3.732	203.4	227.7	-311.8	374.2	691.8
3.765	143.9	265.1	-298.5	411.9	852.4
3.798	79.70	312.3	-284.3	430.7	360.3
3.832	-1.182	323.8	-269.8	435.6	50.81
3.865	-82.11	312.7	-255.3	433.5	-176.7
3.898	-157.5	282.9	-240.9	424.3	292.1
3.932	-220.9	236.9	-227.0	446.9	-389.7
3.965	-260.2	157.1	-211.1	416.6	-1.119E3
3.998	-284.0	99.17	-199.2	351.5	-1.431E3
4.032	-298.1	40.28	-187.7	330.7	-865.9
4.065	-300.5	-14.64	-177.2	293.1	-924.0
4.098	-294.9	-61.79	-168.2	266.0	-1.082E3
4.132	-283.1	-105.9	-159.5	227.2	-1.336E3
4.165	-270.1	-137.5	-153.0	171.5	-1.668E3
4.198	-257.5	-160.6	-148.1	118.8	-1.448E3
4.232	-247.6	-172.6	-145.1	71.90	-1.352E3
4.265	-242.0	-180.6	-143.3	31.63	-1.291E3
4.298	-241.3	-181.8	-143.0	-15.24	-1.406E3
4.331	-245.1	-176.2	-144.3	-61.95	-1.394E3
4.365	-253.4	-163.8	-147.1	-108.3	-1.464E3
4.398	-264.8	-143.8	-151.5	-158.7	-1.360E3
4.431	-282.8	-115.9	-157.7	-201.3	-1.187E3
4.465	-294.9	-79.48	-164.9	-235.4	-1.059E3
4.498	-303.0	-35.09	-173.4	-272.6	-1.054E3
4.531	-304.3	16.39	-183.1	-306.0	-900.3
4.565	-295.7	72.53	-193.8	-332.7	-515.9
4.598	-275.7	130.1	-205.3	-341.8	-531.6
4.631	-245.3	181.9	-216.6	-362.5	-658.0
4.665	-195.9	228.6	-229.4	-391.8	-567.9
4.698	-138.5	268.0	-242.7	-398.6	-108.5
4.731	-73.30	293.4	-256.0	-398.4	-29.95
4.765	-4.142	303.1	-269.2	-400.0	-36.90
4.798	66.50	296.9	-282.6	-401.9	116.1
4.831	133.9	274.5	-296.0	-392.8	248.4
4.865	192.0	238.7	-308.8	-383.1	382.1
4.898	240.4	191.1	-321.5	-370.0	575.7
4.931	275.9	137.8	-333.5	-343.7	504.1
4.965	297.7	82.96	-344.4	-333.4	744.2
4.998	308.6	23.37	-355.7	-302.3	1.171E3
5.031	308.9	-24.70	-364.6	-247.5	1.456E3
5.065	303.2	-65.34	-372.2	-207.6	1.243E3
5.098	294.6	-98.04	-378.4	-164.9	1.301E3
5.131	285.9	-122.2	-383.1	-120.5	1.337E3
5.164	278.4	-138.4	-386.4	-75.96	1.381E3
5.198	273.6	-146.8	-388.2	-28.65	1.438E3
5.231	273.1	-147.3	-388.3	20.25	1.429E3
5.264	277.1	-140.3	-386.9	66.77	1.372E3
5.298	284.3	-125.9	-383.9	111.4	1.312E3
5.331	292.7	-103.3	-379.4	154.5	1.246E3
5.364	300.8	-72.76	-373.6	194.4	1.236E3
5.398	306.2	-34.79	-366.5	236.1	1.201E3
5.431	306.5	11.42	-357.9	275.7	1.132E3
